label,house,file,py_file,draw
390,House.b18,ashp.dck,zpy_ashp.dck,old
391,House.b18,ashp.dck,zpy_ashp.dck,old
392,House.b18,ashp.dck,zpy_ashp.dck,old
393,House.b18,ashp.dck,zpy_ashp.dck,old
394,House.b18,ashp.dck,zpy_ashp.dck,old
395,House.b18,ashp.dck,zpy_ashp.dck,old
396,House.b18,ashp.dck,zpy_ashp.dck,old
397,House.b18,ashp.dck,zpy_ashp.dck,old
398,House.b18,ashp.dck,zpy_ashp.dck,old
399,House.b18,ashp.dck,zpy_ashp.dck,old
400,House.b18,ashp.dck,zpy_ashp.dck,old
401,House.b18,ashp.dck,zpy_ashp.dck,old
402,House.b18,ashp.dck,zpy_ashp.dck,old
403,House.b18,ashp.dck,zpy_ashp.dck,old
404,House.b18,ashp.dck,zpy_ashp.dck,old
405,House.b18,ashp.dck,zpy_ashp.dck,old
406,House.b18,ashp.dck,zpy_ashp.dck,old
407,House.b18,ashp.dck,zpy_ashp.dck,old
408,House.b18,wwhp.dck,zpy_wwhp.dck,old
409,House.b18,wwhp.dck,zpy_wwhp.dck,old
410,House.b18,wwhp.dck,zpy_wwhp.dck,old
411,House.b18,wwhp.dck,zpy_wwhp.dck,old
412,House.b18,wwhp.dck,zpy_wwhp.dck,old
413,House.b18,wwhp.dck,zpy_wwhp.dck,old
414,House.b18,wwhp.dck,zpy_wwhp.dck,old
415,House.b18,wwhp.dck,zpy_wwhp.dck,old
416,House.b18,wwhp.dck,zpy_wwhp.dck,old
417,House.b18,wwhp.dck,zpy_wwhp.dck,old
418,House.b18,wwhp.dck,zpy_wwhp.dck,old
419,House.b18,wwhp.dck,zpy_wwhp.dck,old
420,House.b18,wwhp.dck,zpy_wwhp.dck,old
421,House.b18,wwhp.dck,zpy_wwhp.dck,old
422,House.b18,wwhp.dck,zpy_wwhp.dck,old
423,House.b18,wwhp.dck,zpy_wwhp.dck,old
424,House.b18,wwhp.dck,zpy_wwhp.dck,old
