label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet,cost
94,2408.4,2408.4,2408.4,2408.4,0,2458.429876,0,0,6020.348353,516.9144411,6379.410441,2422.745462,775.0536884,429.9,5.356960488,0,50.8,50.8,50.8,50.8,0,51.72414364,0,2.464252946,2.577205044,0,88,8760,2.169760959,2.363877618,4.982172136,1338.9,16312.5
95,2025.6,2057.09,2082,2088.58,0,2136.468463,0,133.2429559,5197.859343,2073.066989,6383.090816,2440.256512,687.1230133,504,5.356960488,1.3709502,49.6,49.6,49.6,49.6,0,50.58402818,0,2.464927864,2.41219476,-1.221187107,85,8757,2.363877618,2.363877618,5.027291733,1333.8,19650
96,1945.6,1945.6,1945.6,1945.6,0,1998.540225,0,0,4863.124321,517.4161165,5228.489176,1246.48272,779.9951647,450.3,5.356960488,0,35.2,35.2,35.2,35.2,0,35.94122423,0,2.523050813,2.444910773,0,88,8760,2.169760959,2.363877618,4.982172136,1066.3,18112.5
97,2480.4,2480.4,2480.4,2480.4,0,2510.603532,0,0,6200.674394,0,6200.597837,2399.989577,660.8469692,388.05,5.356960488,0,52,52,52,52,0,52.90469329,0,2.483545041,2.701780422,0.080920356,88,8760,2.363877618,2.363877618,4.899597021,1341.8,12775
98,1880.4,1912.83,1938.75,1945.26,0,1982.028132,0,137.879585,4838.016261,2591.598004,6390.514461,2441.533998,732.2691718,465,5.356960488,1.75783719,48.8,48.87,48.87,49.27,0,49.93297868,0,2.498954612,2.391764349,-1.549719611,85,8758,2.363877618,2.363877618,5.16084893,1340.6,22775
99,2234.8,2317.59,2383.86,2400.71,0,2429.958208,0,352.5941045,5939.762082,1035.558359,6376.644945,2427.004279,774.4793752,423.45,5.356960488,0.692677623,51.2,51.67,51.67,52.14,0,52.74729224,0,2.484929079,2.546185944,-0.589175379,77,8749,2.363877618,2.363877618,4.982646973,1335.9,9712.5
100,1425.6,1665.37,1857.13,1905.47,0,1898.81728,0,1020.300243,4584.269544,2073.391486,5157.254977,1251.662462,732.8312234,421.05,5.356960488,1.480413585,32,33.01,33.88,34.35,0,34.89226672,0,2.496346914,2.392576537,-1.269757551,67,8739,2.363877618,2.363877618,4.982942696,1072.8,12112.5
101,2508,2508,2508,2508,0,2535.570833,0,0,6269.432573,0,6269.421181,2416.763953,690.0959362,410.85,5.356960488,0,52.8,52.8,52.8,52.8,0,53.58480494,0,2.47286541,2.627578328,0.080920356,88,8760,2.363877618,2.363877618,5.079090434,1341.9,9175
102,2006.4,2037.42,2061.93,2068.44,0,2114.335898,0,131.126148,5147.878767,2072.924555,6335.224106,2409.600632,765.9121832,408,5.356960488,1.343941072,49.6,49.6,49.6,49.6,0,50.30923996,0,2.494801133,2.435596822,-1.219184237,85,8757,2.363877618,2.363877618,4.98297093,1335.6,19912.5
103,1268.4,1593.17,1852.68,1917.94,0,1890.332359,0,1381.702806,4552.710396,2592.282289,5167.297336,1261.386102,664.8999438,489.3,4.907402955,1.88206067,31.6,33.01,34.02,34.42,0,34.74144666,0,2.488867427,2.312397204,-1.619479047,66,8738,2.363877618,2.3949084,4.719457498,1076,13050
104,2248.4,2330.72,2396.52,2413.37,0,2443.371542,0,350.2354283,5970.822238,1035.611366,6410.129052,2441.545864,728.6218973,488.25,5.356960488,0.692203557,49.2,49.67,49.67,50.14,0,51.05772251,0,2.466109834,2.534092731,-0.590806502,77,8750,2.363877618,2.363877618,4.887926029,1341.1,9575
105,2292.4,2292.4,2292.4,2292.4,0,2351.985667,0,0,5730.89411,1035.548079,6403.234562,2425.901836,795.1214348,430.5,5.356960488,0,50.8,50.8,50.8,50.8,0,51.7902778,0,2.468061224,2.529134675,0,88,8760,2.350112052,2.363877618,4.982702639,1329.6,17512.5
106,1928.4,2159.64,2344.42,2390.88,0,2386.907285,0,983.7578096,5804.160172,2073.000671,6411.92395,2442.497134,710.7155247,507,5.356960488,1.480480426,48.4,49.34,49.81,50.28,0,51.05198005,0,2.47092501,2.490280604,-1.276329007,71,8743,2.363877618,2.363877618,5.239956934,1344.6,11850
107,2311.2,2311.2,2311.2,2311.2,0,2370.944879,0,0,5777.894608,1035.606716,6451.442116,2440.98209,757.5987353,501.15,5.356960488,0,50.4,50.4,50.4,50.4,0,51.37870288,0,2.463270314,2.503006669,0,88,8760,2.297762542,2.363877618,5.062111201,1343.8,17375
108,2257.6,2341.33,2408.47,2425.39,0,2457.156688,0,356.5644542,6000.765694,1035.709268,6433.971602,2446.151703,716.8086087,519.3,5.356960488,0.693152521,49.6,50.07,50.07,50.54,0,51.50505309,0,2.457308046,2.593636686,-0.591936747,77,8750,2.343076971,2.363877618,5.649291771,1331.9,9450
109,1980.8,1980.8,1980.8,1980.8,0,2012.267938,0,0,4951.791898,0,4951.676868,1242.552871,631.7627058,325.65,5.356960488,0,35.2,35.2,35.2,35.2,0,36.05680881,0,2.503100735,2.461481602,0.080920356,88,8760,2.363877618,2.379702554,4.983034875,1074.1,12912.5
110,1882,1910.27,1932.83,1938.87,0,1979.896471,0,120.8392645,4825.371355,2591.663402,6382.078748,2438.224538,692.6429198,499.5,5.356960488,1.652245053,47.6,47.67,47.67,48.07,0,48.77057969,0,2.462346143,2.360565093,-1.518350892,86,8758,2.363877618,2.363877618,5.199514523,1339.5,22650
111,1260,1583.43,1842.33,1907.19,0,1878.467003,0,1376.03839,4526.294976,2592.138314,5146.319322,1255.049447,680.2585845,459.3,5.356960488,1.881056185,32,33.41,34.35,34.82,0,35.20296779,0,2.507143202,2.338487617,-1.619298814,66,8738,2.363877618,2.391455008,5.143758249,1075.4,13175
112,2539.2,2539.2,2539.2,2539.2,0,2568.973557,0,0,6347.754974,0,6347.748389,2447.528549,693.4085493,455.1,5.356960488,0,51.6,51.6,51.6,51.6,0,52.59661848,0,2.460826208,2.641204596,0.080920356,88,8760,2.169760959,2.363877618,5.365468033,1353.6,7850
113,2416.8,2416.8,2416.8,2416.8,0,2465.442629,0,0,6041.802554,516.8540973,6400.997038,2435.351086,777.5846607,436.35,5.356960488,0,51.2,51.2,51.2,51.2,0,51.98068774,0,2.467250659,2.579338907,0,88,8760,2.169760959,2.363877618,4.982063586,1343,16312.5
